NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Comments
C9047,"Injection, caplacizumab-yhdp, 1 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG",52.56638627,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG",52.56638627,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",J9280,"INJECTION, MITOMYCIN, 5 MG",52.56638627,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",J9267,"INJECTION, PACLITAXEL, 1 MG",52.56638627,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG",52.56638627,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",C9261,"INJECTION, USTEKINUMAB, 1 MG",51.93477136,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",Q2046,"INJECTION, AFLIBERCEPT, 1 MG",51.93477136,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",J1325,"INJECTION, EPOPROSTENOL, 0.5 MG",51.93477136,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",J0202,"INJECTION, ALEMTUZUMAB, 1 MG",51.93477136,Present in Autoproposal
C9047,"Injection, caplacizumab-yhdp, 1 mg",Q9979,"INJECTION, ALEMTUZUMAB, 1 MG",51.93477136,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",J8540,"DEXAMETHASONE, ORAL, 0.25 MG",43.34996098,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",J1094,"INJECTION, DEXAMETHASONE ACETATE, 1 MG",43.02731396,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",J7315,"MITOMYCIN, OPHTHALMIC, 0.2 MG",39.47435989,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",J1100,"INJECTION, DEXAMETHASONE SODIUM PHOSPHATE, 1 MG",38.59162109,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",C9256,"INJECTION, DEXAMETHASONE INTRAVITREAL IMPLANT, 0.1 MG",37.22438219,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",J7312,"INJECTION, DEXAMETHASONE, INTRAVITREAL IMPLANT, 0.1 MG",37.22438219,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",68899,"Unlisted procedure, lacrimal system",33.61669673,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",C9034,"INJECTION, DEXAMETHASONE 9%, INTRAOCULAR, 1 MCG",32.07705034,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",68510,Biopsy of lacrimal gland,31.83675075,Present in Autoproposal
C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",K0513,DEXAMETHASONE INH SOL U D,31.39002857,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",C9245,"INJECTION, ROMIPLOSTIM, 10 MCG",69.57239527,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",J3110,"INJECTION, TERIPARATIDE, 10 MCG",68.139104,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",Q2020,"INJECTION, HISTRELIN ACETATE, 10 MCG",62.78626729,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",J0636,"INJECTION, CALCITRIOL, 0.1 MCG",53.16856199,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",C9449,"INJECTION, BLINATUMOMAB, 1 MCG",53.16856199,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",J2501,"INJECTION, PARICALCITOL, 1 MCG",53.16856199,Present in Autoproposal
C9049,"Injection, tagraxofusp-erzs, 10 mcg ",J2500,"INJECTION, PARICALCITOL, 5 MCG",53.16856199,Present in Autoproposal
