CPTCode,CPTLongDesc
01968,ANES/ANALG CS DELIVER ADD-ON
01969,ANESTH/ANALG CS HYST ADD-ON
01990,SUPPORT FOR ORGAN DONOR
01991,ANESTH NERVE BLOCK/INJ
01992,ANESTH N BLOCK/INJ PRONE
01995,REGIONAL ANESTHESIA LIMB
01996,HOSP MANAGE CONT DRUG ADMIN
01997,DAILY HOSPITAL MANAGEMENT OF INTRAVENOUS PCA
01999,UNLISTED ANESTH PROCEDURE
02100,"ANESTH, NERVE BLOCKS (DIFF PROVIDER)"
02101,"ANESTH, NERVE BLOCK PRONE POSITION"
0500F,INITIAL PRENATAL CARE VISIT
0501F,PRENATAL FLOW SHEET
0502F,SUBSEQUENT PRENATAL CARE
0503F,POSTPARTUM CARE VISIT
0505F,HEMODIALYSIS PLAN DOCD
0507F,PERITON DIALYSIS PLAN DOCD
0509F,URINE INCON PLAN DOCD
10000,DELETED CODE
01272,ANESTH FEMORAL ARTERY SURG
01274,ANESTH FEMORAL EMBOLECTOMY
01276,DELETED CODE
01300,"ANESTH, SKIN SURGERY, KNEE"
0130T,CHRON CARE DRUG INVESTIGATN
01320,ANESTH KNEE AREA SURGERY
0133T,ESOPHAGEAL IMPLANT INJEXN
01340,ANESTH KNEE AREA PROCEDURE
0135T,PERQ CRYOABLATE RENAL TUMOR
01360,ANESTH KNEE AREA SURGERY
0137T,PROSTATE SATURATION SAMPLING
01380,ANESTH KNEE JOINT PROCEDURE
01382,ANESTH DX KNEE ARTHROSCOPY
01390,ANESTH KNEE AREA PROCEDURE
01392,ANESTH KNEE AREA SURGERY
01400,ANESTH KNEE JOINT SURGERY
01402,ANESTH KNEE ARTHROPLASTY
01404,ANESTH AMPUTATION AT KNEE
0140T,EXHALED BREATH CONDENSATE PH
0141T,PERQ ISLET TRANSPLANT
01420,ANESTH KNEE JOINT CASTING
0142T,OPEN ISLET TRANSPLANT
01430,ANESTH KNEE VEINS SURGERY
01432,ANESTH KNEE VESSEL SURG
0143T,LAPAROSCOPIC ISLET TRANSPLNT
01440,ANESTH KNEE ARTERIES SURG
01442,ANESTH KNEE ARTERY SURG
01444,ANESTH KNEE ARTERY REPAIR
0144T,CT HEART WO DYE; QUAL CALC
0145T,CT HEART W/WO DYE FUNCT
01460,"ANESTH, LOWER LEG SKIN SURG"
01462,ANESTH LOWER LEG PROCEDURE
01464,ANESTH ANKLE/FT ARTHROSCOPY
0146T,CCTA W/WO DYE
01470,ANESTH LOWER LEG SURGERY
01472,ANESTH ACHILLES TENDON SURG
01474,ANESTH LOWER LEG SURGERY
0147T,"CCTA W/WO, QUAN CALCIUM"
01480,ANESTH LOWER LEG BONE SURG
01482,ANESTH RADICAL LEG SURGERY
01484,ANESTH LOWER LEG REVISION
01486,ANESTH ANKLE REPLACEMENT
0148T,"CCTA W/WO, STRXR"
01490,ANESTH LOWER LEG CASTING
0149T,"CCTA W/WO, STRXR QUAN CALC"
01500,ANESTH LEG ARTERIES SURG
01502,ANESTH LWR LEG EMBOLECTOMY
0150T,"CCTA W/WO, DISEASE STRXR"
0151T,CT HEART FUNCT ADD-ON
01520,ANESTH LOWER LEG VEIN SURG
01522,ANESTH LOWER LEG VEIN SURG
0152T,COMPUTER CHEST ADD-ON
0153T,TCATH SENSOR ANEURYSM SAC
0154T,STUDY SENSOR ANEURYSM SAC
0155T,LAP IMPL GAST CURVE ELECTRD
0156T,LAP REMV GAST CURVE ELECTRD
0157T,OPEN IMPL GAST CURVE ELECTRD
0158T,OPEN REMV GAST CURVE ELECTRD
0159T,CAD BREAST MRI
01600,"ANESTH, SHOULDER SKIN SURG"
0160T,TCRANIAL MAGN STIM TX PLAN
01610,ANESTH SURGERY OF SHOULDER
0161T,TCRANIAL MAGN STIM TX DELIV
01620,ANESTH SHOULDER PROCEDURE
01622,ANES DX SHOULDER ARTHROSCOPY
0162T,ANAL PROGRAM GAST NEUROSTIM
01630,ANESTH SURGERY OF SHOULDER
01632,"ANESTH, SURGERY OF SHOULDER"
01634,ANESTH SHOULDER JOINT AMPUT
01636,ANESTH FOREQUARTER AMPUT
01638,ANESTH SHOULDER REPLACEMENT
0163T,LUMB ARTIF DISKECTOMY ADDL
0164T,REMOVE LUMB ARTIF DISC ADDL
01650,ANESTH SHOULDER ARTERY SURG
01652,ANESTH SHOULDER VESSEL SURG
01654,ANESTH SHOULDER VESSEL SURG
