NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Comments
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4161,"BIO-CONNEKT WOUND MATRIX, PER SQUARE CENTIMETER",54.65857232,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4159,"AFFINITY, PER SQUARE CENTIMETER",39.91901106,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4195,"PURAPLY, PER SQUARE CENTIMETER",39.07614138,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4186,"EPIFIX, PER SQUARE CENTIMETER",38.70268195,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",C9366,"EPIFIX, PER SQUARE CENTIMETER",38.70268195,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4115,"ALLOSKIN, PER SQUARE CENTIMETER",38.25050917,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4106,"DERMAGRAFT, PER SQUARE CENTIMETER",37.67577865,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4182,"TRANSCYTE, PER SQUARE CENTIMETER",37.67577865,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4110,"PRIMATRIX, PER SQUARE CENTIMETER",37.67577865,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4140,"BIODFENCE, PER SQUARE CENTIMETER",37.67577865,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0129,"INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",82.70163892,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J1438,"INJECTION, ETANERCEPT, 25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",81.97803276,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0717,"INJECTION, CERTOLIZUMAB PEGOL, 1 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",80.1379812,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J3030,"INJECTION, SUMATRIPTAN SUCCINATE, 6 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",79.89189016,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0270,"INJECTION, ALPROSTADIL, 1.25 MCG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",79.1758345,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J1830,"INJECTION, INTERFERON BETA-1B, 0.25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",77.9795545,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0275,"ALPROSTADIL URETHRAL SUPPOSITORY (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",76.37170773,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",C9040,"Injection, fremanezumab-vfrm, 1mg",40.10892771,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",A4211,SUPPLIES FOR SELF-ADMINISTERED INJECTIONS,30.56100245,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",G9450,HISTORY OF INJECTION DRUG USE,30.36142915,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",C9037,"INJECTION, RISPERIDONE (PERSERIS), 0.5 MG",100,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",C9125,"INJECTION, RISPERIDONE, PER 12.5 MG",61.95243074,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J2794,"INJECTION, RISPERIDONE, LONG ACTING, 0.5 MG",52.52737138,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",S0163,"INJECTION, RISPERIDONE, LONG ACTING, 12.5 MG",49.20724113,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG",19.56604488,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J9280,"INJECTION, MITOMYCIN, 5 MG",19.56604488,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG",19.56604488,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG",19.56604488,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J9267,"INJECTION, PACLITAXEL, 1 MG",19.56604488,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",Q2046,"INJECTION, AFLIBERCEPT, 1 MG",19.33082957,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",C9051,"Injection, omadacycline, 1 mg",100,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG",25.07661155,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG",25.07661155,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J9267,"INJECTION, PACLITAXEL, 1 MG",25.07661155,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG",25.07661155,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J9280,"INJECTION, MITOMYCIN, 5 MG",25.07661155,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",C9261,"INJECTION, USTEKINUMAB, 1 MG",24.77515037,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J0178,"INJECTION, AFLIBERCEPT, 1 MG",24.77515037,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J1325,"INJECTION, EPOPROSTENOL, 0.5 MG",24.77515037,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",Q2046,"INJECTION, AFLIBERCEPT, 1 MG",24.77515037,Present in Autoproposal
