NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Rank,Comments
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4161,"BIO-CONNEKT WOUND MATRIX, PER SQUARE CENTIMETER",54.65857231668938,10,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4159,"AFFINITY, PER SQUARE CENTIMETER",39.91901106004486,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4195,"PURAPLY, PER SQUARE CENTIMETER",39.076141384376264,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4186,"EPIFIX, PER SQUARE CENTIMETER",38.70268195469726,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",C9366,"EPIFIX, PER SQUARE CENTIMETER",38.70268195469726,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4115,"ALLOSKIN, PER SQUARE CENTIMETER",38.25050916974333,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4106,"DERMAGRAFT, PER SQUARE CENTIMETER",37.675778653516105,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4182,"TRANSCYTE, PER SQUARE CENTIMETER",37.675778653516105,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4110,"PRIMATRIX, PER SQUARE CENTIMETER",37.6757786535161,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",Q4140,"BIODFENCE, PER SQUARE CENTIMETER",37.6757786535161,,Present in Autoproposal
Q4211,"Amnion bio or Axobiomembrane, per square centimeter",,,,,Present only by MD
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0129,"INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",82.70163891696727,10,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J1438,"INJECTION, ETANERCEPT, 25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",81.97803275837528,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0717,"INJECTION, CERTOLIZUMAB PEGOL, 1 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",80.13798120138499,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J3030,"INJECTION, SUMATRIPTAN SUCCINATE, 6 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",79.89189015918325,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0270,"INJECTION, ALPROSTADIL, 1.25 MCG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",79.17583449562,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J1830,"INJECTION, INTERFERON BETA-1B, 0.25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",77.97955450031775,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",J0275,"ALPROSTADIL URETHRAL SUPPOSITORY (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",76.37170772979113,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",C9040,"Injection, fremanezumab-vfrm, 1mg",40.10892770988295,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",A4211,SUPPLIES FOR SELF-ADMINISTERED INJECTIONS,30.56100245020784,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",G9450,HISTORY OF INJECTION DRUG USE,30.361429148017717,,Present in Autoproposal
J3031,"Injection, fremanezumab-vfrm, 1 mg (code may be used for Medicare when drug administered under the direct supervision of a physician, not for use when drug is self-administered)",,,,,Present only by MD
J2798,"Injection, risperidone, (perseris), 0.5 mg",C9037,"INJECTION, RISPERIDONE (PERSERIS), 0.5 MG",100.0,10,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",C9125,"INJECTION, RISPERIDONE, PER 12.5 MG",61.952430743798814,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J2794,"INJECTION, RISPERIDONE, LONG ACTING, 0.5 MG",52.5273713838946,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",S0163,"INJECTION, RISPERIDONE, LONG ACTING, 12.5 MG",49.20724113098952,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG",19.566044882926448,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J9280,"INJECTION, MITOMYCIN, 5 MG",19.566044882926448,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG",19.566044882926448,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG",19.566044882926448,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",J9267,"INJECTION, PACLITAXEL, 1 MG",19.566044882926448,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",Q2046,"INJECTION, AFLIBERCEPT, 1 MG",19.330829572553093,,Present in Autoproposal
J2798,"Injection, risperidone, (perseris), 0.5 mg",,,,,Present only by MD
J0121,"Injection, omadacycline, 1 mg",C9051,"Injection, omadacycline, 1 mg",100.0,10,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG",25.076611545203516,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG",25.076611545203516,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J9267,"INJECTION, PACLITAXEL, 1 MG",25.076611545203516,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG",25.076611545203516,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J9280,"INJECTION, MITOMYCIN, 5 MG",25.076611545203516,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",C9261,"INJECTION, USTEKINUMAB, 1 MG",24.775150365746434,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J0178,"INJECTION, AFLIBERCEPT, 1 MG",24.775150365746434,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",J1325,"INJECTION, EPOPROSTENOL, 0.5 MG",24.775150365746434,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",Q2046,"INJECTION, AFLIBERCEPT, 1 MG",24.775150365746434,,Present in Autoproposal
J0121,"Injection, omadacycline, 1 mg",,,,,Present only by MD
J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",J7318,"HYALURONAN OR DERIVATIVE, DUROLANE, FOR INTRA-ARTICULAR INJECTION, 1 MG",85.34453437353416,10,Present in Autoproposal
J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",J7322,"HYALURONAN OR DERIVATIVE, HYMOVIS, FOR INTRA-ARTICULAR INJECTION, 1 MG",85.34453437353416,,Present in Autoproposal
J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",C9471,"HYALURONAN OR DERIVATIVE, HYMOVIS, FOR INTRA-ARTICULAR INJECTION, 1 MG",85.34453437353416,,Present in Autoproposal
J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",J7329,"HYALURONAN OR DERIVATIVE, TRIVISC, FOR INTRA-ARTICULAR INJECTION, 1 MG",84.40527401225812,,Present in Autoproposal
J7331,"Hyaluronan or derivative, synojoynt, for intra-articular injection, 1 mg",J7328,"HYALURONAN OR DERIVATIVE, GELSYN-3, FOR INTRA-ARTICULAR INJECTION, 0.1 MG",84.40527401225812,,Present in Autoproposal
