HCPCS,LongDesc,SimCode,Sim_LongDesc
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",,
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",,
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",,
0108U,"Gastroenterology (Barrett’s esophagus), whole slide–digital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",,
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",,
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",,
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",,
0112U,"Infectious agent detection and identification, targeted sequence analysis (16S and 18S rRNA genes) with drug- resistance gene",,
0113U,"Oncology (prostate), measurement of PCA3 and TMPRSS2-ERG in urine and PSA in serum following prostatic massage, by RNA amplification and fluorescence- based detection, algorithm reported as risk score",,
0114U,"Gastroenterology (Barrett’s esophagus), VIM and CCNA1 methylation analysis, esophageal cells, algorithm reported as likelihood for Barrett’s esophagus",,
0115U,"Respiratory infectious agent detection by nucleic acid (DNA and RNA), 18 viral types and subtypes and 2 bacterial targets, amplified probe technique, including multiplex reverse transcription for RNA targets, each analyte reported as detected or not detected",,
0116U,"Prescription drug monitoring, enzyme immunoassay of 35 or more drugs confirmed with LC-MS/MS, oral fluid, algorithm results reported as a patient-
compliance measurement with risk of drug to drug interactions for prescribed medications",,
0117U,"Pain management, analysis of 11 endogenous analytes (methylmalonic acid, xanthurenic acid, homocysteine, pyroglutamic acid, vanilmandelate, 5-
hydroxyindoleacetic acid, hydroxymethylglutarate, ethylmalonate, 3- hydroxypropyl mercapturic acid (3-HPMA), quinolinic acid, kynurenic acid), LC- MS/MS, urine, algorithm reported as a pain-index score with likelihood of atypical biochemical function associated with pain",,
0118U,"Transplantation medicine, quantification of donor-derived cell-free DNA using whole genome next-generation sequencing, plasma, reported as percentage of donor- derived cell-free DNA in the total cell-free DNA",,
0119U,"Cardiology, ceramides by liquid chromatography–tandem mass spectrometry, plasma, quantitative report with risk score for major cardiovascular events",,
0120U,"Oncology (B-cell lymphoma classification), mRNA, gene expression profiling by fluorescent probe hybridization of 58
genes (45 content and 13 housekeeping genes), formalin-fixed paraffin-embedded
tissue, algorithm reported as likelihood for
primary mediastinal B-cell lymphoma (PMBCL) and diffuse large B-cell lymphoma (DLBCL) with cell of origin subtyping in the latter",,
0121U,"Sickle cell disease, microfluidic flow adhesion (VCAM-1), whole blood",,
0122U,"Sickle cell disease, microfluidic flow adhesion (P-Selectin), whole blood",,
0123U,"Mechanical fragility, RBC, shear stress and spectral analysis profiling",,
0124U,"Fetal congenital abnormalities, biochemical assays of 3 analytes (free beta-hCG, PAPP-A, AFP), time-resolved
fluorescence immunoassay, maternal
dried-blood spot, algorithm reported as risk scores for fetal trisomies 13/18 and 21",,
0125U,"Fetal congenital abnormalities and perinatal complications, biochemical assays of 5 analytes (free beta-hCG,
PAPP-A, AFP, placental growth factor, and
inhibin-A), time-resolved fluorescence immunoassay, maternal serum, algorithm reported as risk scores for fetal trisomies
13/18, 21, and preeclampsia",,
