NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Comments
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",G8771,DOCUMENTATION OF DIAGNOSIS OF CHRONIC KIDNEY DISEASE,34.67747446,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",78700,Kidney imaging morphology,28.37666134,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",50500,"Nephrorrhaphy, suture of kidney wound or injury",26.28273517,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",G8487,I INTEND TO REPORT THE CHRONIC KIDNEY DISEASE (CKD) MEASURES GROUP,25.04252739,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",E1632,"WEARABLE ARTIFICIAL KIDNEY, EACH",23.73001033,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",50280,Excision or unroofing of cyst(s) of kidney,23.41987442,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",50205,Renal biopsy; by surgical exposure of kidney,23.41702974,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",78701,Kidney imaging morphology; with vascular flow,23.0868958,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",22.83858118,Present in Autoproposal
0105U,"Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)",78707,"Kidney imaging morphology; with vascular flow and function, single study without pharmacological intervention",21.7355257,Present in Autoproposal
