HCPCS,LongDesc,SimCode,Sim_LongDesc
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",,
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",,
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",,
15773,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; 25 cc or less injectate",,
15774,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; each additional 25 cc injectate, or part thereof (List separately in addition to code for primary procedure)",,
20560,Needle insertion(s) without injection(s); 1 or 2 muscle(s),,
20561,Needle insertion(s) without injection(s); 3 or more muscles,,
20700,"Manual preparation and insertion of drug-delivery device(s), deep (eg, subfascial) (List separately in addition to code for primary procedure)",,
20701,"Removal of drug-delivery device(s), deep (eg, subfascial) (List separately in addition to code for primary procedure)",,
20702,"Manual preparation and insertion of drug-delivery device(s), intramedullary (List separately in addition to code for primary procedure)",,
20703,"Removal of drug-delivery device(s), intramedullary (List separately in addition to code for primary procedure)",,
20704,"Manual preparation and insertion of drug-delivery device(s), intra-articular (List separately in addition to code for primary procedure)",,
20705,"Removal of drug-delivery device(s), intra-articular (List separately in addition to code for primary procedure)",,
21601,Excision of chest wall tumor including rib(s),,
21602,"Excision of chest wall tumor involving rib(s), with plastic reconstruction; without mediastinal lymphadenectomy",,
21603,"Excision of chest wall tumor involving rib(s), with plastic reconstruction; with mediastinal lymphadenectomy",,
33016,"Pericardiocentesis, including imaging guidance, when performed",,
33017,"Pericardial drainage with insertion of indwelling catheter, percutaneous, including fluoroscopy and/or ultrasound guidance, when performed; 6 years and older without congenital cardiac anomaly",,
33018,"Pericardial drainage with insertion of indwelling catheter, percutaneous, including fluoroscopy and/or ultrasound guidance, when performed; birth through 5 years of age or any age with congenital cardiac anomaly",,
33019,"Pericardial drainage with insertion of indwelling catheter, percutaneous, including CT guidance",,
33858,"Ascending aorta graft, with cardiopulmonary bypass, includes valve suspension, when performed; for aortic dissection",,
33859,"Ascending aorta graft, with cardiopulmonary bypass, includes valve suspension, when performed; for aortic disease other than dissection (eg, aneurysm)",,
33871,"Transverse aortic arch graft, with cardiopulmonary bypass, with profound hypothermia, total circulatory arrest and isolated cerebral perfusion with reimplantation of arch vessel(s) (eg, island pedicle or individual arch vessel reimplantation)",,
34717,"Endovascular repair of iliac artery at the time of aorto-iliac artery endograft placement by deployment of an iliac branched endograft including pre-procedure sizing and device selection, all ipsilateral selective iliac artery catheterization(s), all associated radiological supervision and interpretation, and all endograft extension(s) proximally to the aortic bifurcation and distally in the internal iliac, external iliac, and common femoral artery(ies), and treatment zone angioplasty/stenting, when performed, for rupture or other than rupture (eg, for aneurysm, pseudoaneurysm, dissection, arteriovenous malformation, penetrating ulcer, traumatic disruption), unilateral (List separately in addition to code for primary procedure)",,
34718,"Endovascular repair of iliac artery, not associated with placement of an aorto-iliac artery endograft at the same session, by deployment of an iliac branched endograft, including pre-procedure sizing and device selection, all ipsilateral selective iliac artery catheterization(s), all associated radiological supervision and interpretation, and all endograft extension(s) proximally to the aortic bifurcation and distally in the internal iliac, external iliac, and common femoral artery(ies), and treatment zone angioplasty/stenting, when performed, for other than rupture (eg, for aneurysm, pseudoaneurysm, dissection, arteriovenous malformation, penetrating ulcer), unilateral",,
35702,"Exploration not followed by surgical repair, artery; upper extremity (eg, axillary, brachial, radial, ulnar)",,
35703,"Exploration not followed by surgical repair, artery; lower extremity (eg, common femoral, deep femoral, superficial femoral, popliteal, tibial, peroneal)",,
46948,"Hemorrhoidectomy, internal, by transanal hemorrhoidal dearterialization, 2 or more hemorrhoid columns/groups, including ultrasound guidance, with mucopexy, when performed",,
49013,"Preperitoneal pelvic packing for hemorrhage associated with pelvic trauma, including local exploration",,
49014,"Re-exploration of pelvic wound with removal of preperitoneal pelvic packing, including repacking, when performed",,
62328,"Spinal puncture, lumbar, diagnostic; with fluoroscopic or CT guidance",,
62329,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter); with fluoroscopic or CT guidance",,
64451,"Injection(s), anesthetic agent(s) and/or steroid; nerves innervating the sacroiliac joint, with image guidance (ie, fluoroscopy or computed tomography)",,
64454,"Injection(s), anesthetic agent(s) and/or steroid; genicular nerve branches, including imaging guidance, when performed",,
64624,"Destruction by neurolytic agent, genicular nerve branches including imaging guidance, when performed",,
64625,"Radiofrequency ablation, nerves innervating the sacroiliac joint, with image guidance (ie, fluoroscopy or computed tomography)",,
