NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",20926,"Tissue grafts, other (eg, paratenon, fat, dermis)",44.3704676
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",15770,Graft; derma-fat-fascia,31.91745192
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",20005,"Incision and drainage of soft tissue abscess, subfascial (ie, involves the soft tissue below the deep fascia)",26.10495216
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",11043,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less",25.17146195
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",11044,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less",25.06402133
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",11004,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum",22.69069006
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",11005,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure",22.14535453
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",15838,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); submental fat pad",22.14489619
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",23073,"Excision, tumor, soft tissue of shoulder area, subfascial (eg, intramuscular); 5 cm or greater",22.13327057
15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",22901,"Excision, tumor, soft tissue of abdominal wall, subfascial (eg, intramuscular); 5 cm or greater",21.77361679
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)",34.18429296
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm",32.69028178
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm",32.69028178
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",31.42672999
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",11600,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less",29.58414586
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",15130,"Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children",28.96395732
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less",28.85432644
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",15110,"Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children",28.60954626
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",15170,"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children",28.07683707
15771,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; 50 cc or less injectate",15150,"Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less",28.06585856
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)",50.92889207
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15131,"Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",50.34696791
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15111,"Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",49.95072368
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15171,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",49.34520961
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15331,"Acellular dermal allograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",48.87128518
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15101,"Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",48.83320439
15772,"Grafting of autologous fat harvested by liposuction technique to trunk, breasts, scalp, arms, and/or legs; each additional 50 cc injectate, or part thereof (List separately in addition to code for primary procedure)",15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",48.49106006
