NewCode,NewCodeDesc,SameSimCode,CPTDesc
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",C9043,"Injection, levoleucovorin, 1 mg"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J0641,"Injection, levoleucovorin, 0.5 mg"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J9280,"INJECTION, MITOMYCIN, 5 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",S0135,"INJECTION, PEGFILGRASTIM, 6 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",Q4053,"INJECTION, PEGFILGRASTIM, 1 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J9267,"INJECTION, PACLITAXEL, 1 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J2505,"INJECTION, PEGFILGRASTIM, 6 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J0202,"INJECTION, ALEMTUZUMAB, 1 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J1325,"INJECTION, EPOPROSTENOL, 0.5 MG"
J0642,"Injection, levoleucovorin (khapzory), 0.5 mg",J3396,"INJECTION, VERTEPORFIN, 0.1 MG"
