HCPCS,LongDesc,SimCode,Sim_LongDesc
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",,
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",,
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism
targets, reported as positive or negative
with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",,
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft
rejection and injury algorithm reported as a
probability score",,
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression
profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a
probability score for rejection",,
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using
adhesive patch(es)",,
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping),
utilizing formalin-fixed paraffin-embedded
tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",,
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the
presence of adenoma or cancer, reported
as a positive or negative result",,
0092U,"Oncology (lung), three protein biomarkers, immunoassay using magnetic nanosensor technology, plasma, algorithm reported as
risk score for likelihood of malignancy",,
0093U,"Prescription drug monitoring, evaluation of
65 common drugs by LC-MS/MS, urine, each drug reported detected or not detected",,
0094U,"Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid
sequence analysis",,
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major
basic protein (PRG2 [proteoglycan 2, pro
eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm report",,
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68), male urine",,
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types
or subtypes, 22 targets (Campylobacter [C.
jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shige",,
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe
technique, multiple types or subtypes, 14
targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A",,
0099U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe
technique, multiple types or subtypes, 20 targets (adenovirus, coronavirus 229E,
coronavirus HKU1, coronavirus,
coronavirus OC43, human metapneumovirus, influenza A, influ",,
0100U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 20
targets (adenovirus, coronavirus 229E,
coronavirus HKU1, coronavirus NL63, coronavirus OC43, human metapneumovirus, human rhinovi",,
0101U,"Hereditary colon cancer disorders (eg, Lynch syndrome, PTEN hamartoma syndrome, Cowden syndrome, familial adenomatosis polyposis), genomic sequence analysis panel utilizing a
combination of NGS, Sanger, MLPA, and
array CGH, with MRNA analytics to resolve ",,
0102U,"Hereditary breast cancer-related disorders
(eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with MRNA analytics to resolv",,
0103U,"Hereditary ovarian cancer (eg, hereditary ovarian cancer, hereditary endometrial
cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger,
MLPA, and array CGH, with MRNA
analytics to resolve variants of unknown significance when ind",,
