NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Rank,Comments
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",0001U,"Red blood cell antigen typing, DNA, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common RBC alleles reported",56.54466672325219,10,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",85041,"Blood count; red blood cell (RBC), automated",52.16468341182588,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",86960,"Volume reduction of blood or blood product (eg, red blood cells or platelets), each unit",42.555519060048454,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",P9021,"RED BLOOD CELLS, EACH UNIT",42.29995239100099,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",P2029,"CONGO RED, BLOOD",40.039018808796186,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",38212,Transplant preparation of hematopoietic progenitor cells; red blood cell removal,38.47312965253541,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",36512,Therapeutic apheresis; for red blood cells,36.37931056113349,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",C9505,"RED BLOOD CELLS, IRRADIATED, EACH UNIT",35.99502704365929,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",P9038,"RED BLOOD CELLS, IRRADIATED, EACH UNIT",35.99502704365929,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens.",78130,Red cell survival study,35.87261458569942,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",31.128729231793734,10,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",87230,"Toxin or antitoxin assay, tissue culture (eg, Clostridium difficile toxin)",30.969419638397973,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",87427,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Shiga-like toxin",30.88277440829615,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",87803,Infectious agent antigen detection by immunoassay with direct optical observation; Clostridium difficile toxin A,30.304130457842334,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",86337,Insulin antibodies,29.77122024162559,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",89325,Sperm antibodies,28.851353947200852,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",87389,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-1 antigen(s), with HIV-1 and HIV-2 antibodies, single result",26.06848622077144,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",86340,Intrinsic factor antibodies,24.971054821618562,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",C9018,"BOTULINUM TOXIN TYPE B, PER 100 UNITS",24.14379384544871,,Present in Autoproposal
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA)",86308,Heterophile antibodies; screening,23.42847024602521,,Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism
targets, reported as positive or negative
with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87186,"Susceptibility studies, antimicrobial agent; microdilution or agar dilution (minimum inhibitory concentration [MIC] or breakpoint), each multi-antimicrobial, per plate",36.64712034324645,10,Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism
targets, reported as positive or negative
with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87107,"Culture, fungi, definitive identification, each organism; mold",30.43307291800702,,Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism
targets, reported as positive or negative
with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87106,"Culture, fungi, definitive identification, each organism; yeast",29.82440406197539,,Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism
targets, reported as positive or negative
with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87149,"Culture, typing; identification by nucleic acid (DNA or RNA) probe, direct probe technique, per culture or isolate, each organism probed",24.731421131903776,,Present in Autoproposal
