HCPCS,LongDesc,SimCode,Sim_LongDesc
0045U,"Oncology (breast ductal carcinoma in situ), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score"
0046U,"FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia) internal tandem duplication (ITD) variants, quantitative",81245,"FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia), gene analysis; internal tandem duplication (ITD) variants (ie, exons 14, 15)"
0047U,"Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score"
0048U,"Oncology (solid organ neoplasia), DNA, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)",81455,"Targeted genomic sequence analysis panel, solid organ or hematolymphoid neoplasm, DNA analysis, and RNA analysis when performed, 51 or greater genes (eg, ALK, BRAF, CDKN2A, CEBPA, DNMT3A, EGFR, ERBB2, EZH2, FLT3, IDH1, IDH2, JAK2, KIT, KRAS, MLL, NPM1, NRAS, MET, NOTCH1, PDGFRA, PDGFRB, PGR, PIK3CA, PTEN, RET), interrogation for sequence variants and copy number variants or rearrangements, if performed"
0048U,"Oncology (solid organ neoplasia), DNA, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)",0037U,"Targeted genomic sequence analysis, solid organ neoplasm, DNA analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden"
0049U,"NPM1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, quantitative",81310,"NPM1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, exon 12 variants"
0050U,"Targeted genomic sequence analysis panel, acute myelogenous leukemia, DNA analysis, 194 genes, interrogation for sequence variants, copy number variants or rearrangements",81455,"Targeted genomic sequence analysis panel, solid organ or hematolymphoid neoplasm, DNA analysis, and RNA analysis when performed, 51 or greater genes (eg, ALK, BRAF, CDKN2A, CEBPA, DNMT3A, EGFR, ERBB2, EZH2, FLT3, IDH1, IDH2, JAK2, KIT, KRAS, MLL, NPM1, NRAS, MET, NOTCH1, PDGFRA, PDGFRB, PGR, PIK3CA, PTEN, RET), interrogation for sequence variants and copy number variants or rearrangements, if performed"
0051U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, urine, 31 drug panel, reported as quantitative results, detected or not detected, per date of service",0011U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites"
0051U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, urine, 31 drug panel, reported as quantitative results, detected or not detected, per date of service",80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrometry either with or without chromatography, (eg, DART, DESI, GC-MS, GC-MS/MS, LC-MS, LC-MS/MS, LDTD, MALDI, TOF) includes sample validation when performed, per date of service"
0051U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, urine, 31 drug panel, reported as quantitative results, detected or not detected, per date of service",80361,"Opiates, 1 or more"
