NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Rank,Comments
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",0001U,"Red blood cell antigen typing, DNA, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common RBC alleles reported",56.54466672325219,10,Present Both in MD and Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",85041,"Blood count; red blood cell (RBC), automated",52.16468341182588,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",86960,"Volume reduction of blood or blood product (eg, red blood cells or platelets), each unit",42.555519060048454,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",P9021,"RED BLOOD CELLS, EACH UNIT",42.29995239100099,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",P2029,"CONGO RED, BLOOD",40.039018808796186,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",38212,Transplant preparation of hematopoietic progenitor cells; red blood cell removal,38.47312965253541,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",36512,Therapeutic apheresis; for red blood cells,36.37931056113349,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",C9505,"RED BLOOD CELLS, IRRADIATED, EACH UNIT",35.99502704365929,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",P9038,"RED BLOOD CELLS, IRRADIATED, EACH UNIT",35.99502704365929,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",78130,Red cell survival study,35.87261458569942,,Present in Autoproposal
0084U,"Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens",86905,"Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each",,,Present only by MD
