CPTCode,CPTLongDesc
0001F,"Heart failure assessed (includes assessment of all the following components) (CAD): Blood pressure measured (2000F) Level of activity assessed (1003F) Clinical symptoms of volume overload (excess) assessed (1004F) Weight, recorded (2001F) Clinical signs of volume overload (excess) assessed (2002F)"
0001M,"Infectious disease, chronic hepatitis C virus (HCV) infection, six biochemical assays (ALT, A2 macroglobulin, apolipoprotein A-1, total bilirubin, GGT, and haptoglobin) utilizing serum, prognostic algorithm reported as scores for fibrosis and necroinflammatory activity in liver"
0001T,ENDOVAS REPR ABDO AO ANEURYS
0001U,"Red blood cell antigen typing, DNA, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common RBC alleles reported"
0002F,"TOBACCO USE, SMOKING, ASSESS"
0002M,"Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and alcoholic steatohepatitis (ASH)"
0002T,ENDOVAS REPR ABDO AO ANEURYS
0002U,"Oncology (colorectal), quantitative assessment of three urine metabolites (ascorbic acid, succinic acid and carnitine) by liquid chromatography with tandem mass spectrometry (LC-MS/MS) using multiple reaction monitoring acquisition, algorithm reported as likelihood of adenomatous polyps"
0003F,"TOBACCO USE, NON-SMOKING"
0003M,"Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and nonalcoholic steatohepatitis (NASH)"
0003T,CERVICOGRAPY
0003U,"Oncology (ovarian) biochemical assays of five proteins (apolipoprotein A-1, CA 125 II, follicle stimulating hormone, human epididymis protein 4, transferrin), utilizing serum, algorithm reported as a likelihood score"
0004F,TOBACCO USE TXMNT COUNSELING
0004M,"Scoliosis, DNA analysis of 53 single nucleotide polymorphisms (SNPs), using saliva, prognostic algorithm reported as a risk score"
0004U,"Infectious disease (bacterial), DNA, 27 resistance genes, PCR amplification and probe hybridization in microarray format (molecular detection and identification of AmpC, carbapenemase and ESBL coding genes), bacterial culture colonies, report of genes detected or not detected, per isolate"
0005F,"Osteoarthritis assessed (OA) Includes assessment of all the following components: Osteoarthritis symptoms and functional status assessed (1006F) Use of anti-inflammatory or over-the-counter (OTC) analgesic medications assessed (1007F) Initial examination of the involved joint(s) (includes visual inspection, palpation, range of motion) (2004F)"
0005M,"Fetal aneuploidy (trisomy 21, 18, and 13) DNA sequence analysis of selected regions using maternal plasma, algorithm reported as a risk score for each trisomy"
0005T,PERC CATH STENT/BRAIN CV ART
